1,2,3,4,5,6,7,9,11,13,19,20,22,24,25,26,30,31,34,35,42,43,44,45,46,47,48,49,50,51,52,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,130,134,168,169,172,173,174,175,176,177,178,180
ID,WEIGHT,YEAR,SEX,AGE,AGE_GRP,REGION,MASTAT,HHSIZE,NKIDS,EDUC,JBSTAT,HOH,FIHHYR2,FIHHYR_A,DFIHHYR,US,USTOT,USTOTY_A,USTOTDY_A,USN,USA,USB,USC,USD,USE,USG,USH,USI,USJ,TENURE,BILLSCC,XPHDR1,XPHDR2,XPHDR3,XPHDR4,XPHDR5,XPHDR6,XPHDR7,XPHDR8,XPHDR9,XPHDR10,XPHDR11,XPHDR12,XPHDR13,XPHDR14,XPHDR15,XPHDD1,XPHDD2,XPHDD3,XPHDD4,XPHDD5,XPHDD6,XPHDD7,XPHDD8,XPHDD9,HSCRCHG,SAVING11,NVESTTOT,NVESTTOT_A,DEBTCONC_ACT1,DEBTCONC_ACT2,DEBTCONC_ACT3,DEBTCONC_ACT4,DEBTCONC_ACT5,DEBTCONC_ACT6,DEBTCONC_ACT7,PUBSECTY
56,0.884,2006,FEMALE,40,35 to 44,SOUTH WEST,MARRIED OR COUPLE,4,2,GCSE/O to LEVEL/CSE,IN PAID EMPLOYMENT,YES,4500 to 6499,50000,,NO,NOT APPLICABLE,0,,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,OWNED MORTGAGE,DO NOT KNOW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,NOT APPLICABLE,DO NOT KNOW,DO NOT KNOW,,,,,,,,,
722,0.909,2006,FEMALE,46,45 to 54,EAST MIDLANDS,WIDOWED/DIVORCED/SEPARATED,1,0,A LEVEL,NOT ABLE TO WORK,YES,DO NOT KNOW,REFUSED,,NO,NOT APPLICABLE,NOT APPLICABLE,,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,PRIVATE RENTED,DO NOT KNOW,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,DO NOT KNOW,DO NOT KNOW,DO NOT KNOW,,,,,,,,,
994,1.481,2006,FEMALE,32,25 to 34,SOUTH EAST,MARRIED OR COUPLE,3,1,OTHER,IN PAID EMPLOYMENT,NO,DO NOT KNOW,NOT APPLICABLE,,YES,10000 to 19999,NOT APPLICABLE,,3,NO,YES,YES,NO,NO,NO,NO,NO,YES,OWNED MORTGAGE,DO NOT KNOW,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,EASIER,DO NOT KNOW,DO NOT KNOW,,,,,,,,,
1015,0.391,2006,MALE,51,45 to 54,WALES,WIDOWED/DIVORCED/SEPARATED,2,1,OTHER,UNEMPLOYED,YES,DO NOT KNOW,REFUSED,,YES,3000 to 3499,NOT APPLICABLE,,3,NO,NO,NO,YES,YES,NO,YES,NO,NO,LOCAL AUTHORITY RENTED,DO NOT KNOW,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,NOT APPLICABLE,DO NOT KNOW,DO NOT KNOW,,,,,,,,,
1680,1.01,2006,MALE,34,25 to 34,WEST MIDLANDS,WIDOWED/DIVORCED/SEPARATED,5 aNd over,3,BACHELOR DEGREE OR EQUIVALENT,SOMETHING ELSE,YES,DO NOT KNOW,REFUSED,,REFUSED,NOT APPLICABLE,NOT APPLICABLE,,REFUSED,REFUSED,REFUSED,REFUSED,REFUSED,REFUSED,REFUSED,REFUSED,REFUSED,REFUSED,OWNED MORTGAGE,DO NOT KNOW,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,NOT APPLICABLE,DO NOT KNOW,DO NOT KNOW,,,,,,,,,
209,1.413,2006,FEMALE,77,65 aNd over,SOUTH EAST,MARRIED OR COUPLE,2,0,OTHER,SELF EMPLOYED,YES,DO NOT KNOW,REFUSED,,REFUSED,NOT APPLICABLE,NOT APPLICABLE,,REFUSED,REFUSED,REFUSED,REFUSED,REFUSED,REFUSED,REFUSED,REFUSED,REFUSED,REFUSED,LOCAL AUTHORITY RENTED,DO NOT KNOW,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,THE SAME,DO NOT KNOW,DO NOT KNOW,,,,,,,,,
16,0.913,2006,MALE,26,25 to 34,NORTH WEST,MARRIED OR COUPLE,4,2,OTHER,IN PAID EMPLOYMENT,NO,DO NOT KNOW,37500,,NO,NOT APPLICABLE,0,,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,LOCAL AUTHORITY RENTED,DO NOT KNOW,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,THE SAME,DO NOT KNOW,DO NOT KNOW,,,,,,,,,
1214,0.792,2006,MALE,28,25 to 34,YORKSHIRE AND HUMBERSIDE,MARRIED OR COUPLE,5 aNd over,5 aNd over,OTHER,SOMETHING ELSE,NO,DO NOT KNOW,NOT APPLICABLE,,YES,200 to 499,NOT APPLICABLE,,3,NO,YES,NO,YES,YES,NO,NO,NO,NO,LOCAL AUTHORITY RENTED,DO NOT KNOW,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,NOT APPLICABLE,DO NOT KNOW,DO NOT KNOW,,,,,,,,,
207,0.954,2006,MALE,71,65 aNd over,WALES,MARRIED OR COUPLE,2,0,OTHER,RETIRED,NO,DO NOT KNOW,21250,,NO,NOT APPLICABLE,0,,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,LOCAL AUTHORITY RENTED,DO NOT KNOW,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,QUESTION NOT OFFERED,DO NOT KNOW,DO NOT KNOW,DO NOT KNOW,,,,,,,,,
