1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121
subsid,weight,ret,soc,age,age_grp,region,sex,tenure,fihhyr2,mastat,dfihhyr,dfihhyrchg,saveamount,huresp,hsval,mg1tot,xpmg,usa,usb,ush,usc,usj,usd,usi,use,usk,usg,us,ustot,xpus,billscc,actbillscc1,actbillscc2,actbillscc3,actbillscc4,actbillscc5,actbillscc6,actbillscc7,actbillscc8,actbillscc9,actbillscc10,actbillscc11,actbill_otherspec,condebt,actdebt1,actdebt2,actdebt3,actdebt4,actdebt5,actdebt7,actdebt6,actdebt8,actdebt9,actdebt_otherspec,changecondebt,hscntcr1,hscrchg,newloan,outloan,deposit,depositsave,timedeposit,nvesttot,savingch,savebcs1,savebcs2,savebcs3,savebcs4,savebcs5,savebcs6,savebcs7,savebcs8,savebcs9,savebcs10,savebcs11,savebcs12,savebcs14,savebcs13,desavebcs1,desavebcs2,desavebcs3,desavebcs4,desavebcs5,desavebcs6,emergency,emerchange,hhincfall,conhhinc,pubsecty,fisc_impact1,fisc_impact2,fisc_impact3,fisc_impact4,fisc_impact5,fisc_impact8,fisc_impact6,fisc_impact7,fisc11_act1,fisc11_act2,fisc11_act3,fisc11_act4,fisc11_act6,fisc11_act5,fisc11_conc1,fisc11_conc2,fisc11_conc3,fisc11_conc4,fisc11_conc5,fisc11_conc8,fisc11_conc6,fisc11_conc7,fisc_likact1,fisc_likact2,fisc_likact3,fisc_likact4,fisc_likact6,fisc_likact5,jbstat,xphsdf,xphpdf
24072832,1.02347517,No,C1,33,25-34,Greater London,Male,Private rented,"£50,000-£74,999",Married or Couple,<=199,down >£100,£25-£49,Not applicable,Not applicable,Not applicable,Not applicable,No,Yes,Yes,No,No,No,No,No,No,No,Yes,£200-£499,>=£500,"keeping up, struggle from time to time",No,No,No,No,Yes,Yes,No,No,No,No,No,,Somewhat concerned,Yes,Yes,No,No,No,No,No,No,No,,Stayed the same,Refused,harder,No,Not applicable,Yes,Haven't started saving yet,5 year,£500-£999,Don’t plan to change my monthly savings,,,,,,,,,,,,,,,,,,,,,No,Decreased,Quite likely - my household income could fall sharply,No,No,No,No,No,No,No,No,Yes,No,,,,,,,No,No,No,No,No,No,Yes,No,,,,,,,In Paid Employment ,No,somewhat
25047181,0.979064924,No,C1,19,18-24,Greater London,Female,Private rented,Refused,Never Married,£500-£599,down >£100,£200-£249,Not applicable,Not applicable,Not applicable,Not applicable,No,No,No,No,No,No,Yes,No,No,No,Yes,"£10,000-£14,999",<£10,keeping up without much difficulty,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,Not at all concerned,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,Increased,don't kNow,the same,No,Not applicable,No,Not applicable,Not applicable,Refused,Don’t plan to change my monthly savings,,,,,,,,,,,,,,,,,,,,,Yes,Stayed the same,"Not likely, but there is a small chance of a sharp fall in my household income",No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,don't kNow,don't kNow,don't kNow,don't kNow,don't kNow,don't kNow,Full Time Student,No,No
22643959,0.993394755,No,C1,55,55-64,Yorkshire & Humberside,Male,Owned outright,"£40,000-£49,999",Married or Couple,don't kNow,No change,don't kNow,Yes,,Not applicable,Not applicable,No,No,No,Yes,No,No,No,No,No,No,Yes,don't kNow,don't kNow,keeping up without much difficulty,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,Not at all concerned,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,Stayed the same,No,the same,No,Not applicable,Not applicable,Not applicable,Not applicable,don't kNow,Don’t plan to change my monthly savings,,,,,,,,,,,,,,,,,,,,,don't kNow,Stayed the same,"Not likely, but there is a small chance of a sharp fall in my household income",No,Yes,No,No,No,No,No,No,No,Yes,,,,,,,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,In Paid Employment ,No,No
22925984,0.968944993,No,C2,52,45-54,North,Female,Owned outright,"£15,500-£17,499",Married or Couple,<=199,down >£100,None,Yes,,Not applicable,Not applicable,No,Yes,No,Yes,No,No,No,No,No,No,Yes,"£10,000-£14,999",£220-£239,"keeping up, constant struggle",No,No,No,No,No,Yes,No,Yes,Yes,No,No,,Very concerned,Yes,Yes,Yes,No,No,No,No,No,No,,Increased,don't kNow,harder,No,Not applicable,Not applicable,Not applicable,Not applicable,None,Don’t plan to change my monthly savings,,,,,,,,,,,,,,,,,,,,,No,Increased,Quite likely - my household income could fall sharply,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,don't kNow,don't kNow,don't kNow,don't kNow,don't kNow,don't kNow,Something Else,No,heavy
22379670,1.04033693,No,E,48,45-54,Scotland,Male,Private rented,"£7,500-£9,499",Widowed/Divorced/Separated,<=199,No change,None,Not applicable,Not applicable,Not applicable,Not applicable,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,don't kNow,<£10,"have financial problems, fallen behind with many",No,No,No,No,No,Yes,No,No,No,No,No,,Very concerned,Yes,Yes,No,No,No,No,No,No,No,,Increased,No,Not applicable,No,Not applicable,No,Not applicable,Not applicable,None,Don’t plan to change my monthly savings,,,,,,,,,,,,,,,,,,,,,No,Stayed the same,don't kNow,No,No,No,No,No,No,No,No,No,Yes,,,,,,,Yes,No,No,No,No,No,No,No,don't kNow,don't kNow,don't kNow,don't kNow,don't kNow,don't kNow,Unemployed,Yes,heavy
25038233,0.973969516,No,C2,48,45-54,North,Female,Owned mortgage,"£17,500-£24,999",Never Married,£200-£299,down >£100,<=25,Yes,"£75,000-£99,999","<£10,000",don't kNow,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,<£200,£10-£19,"keeping up, struggle from time to time",No,No,No,No,No,No,Yes,No,No,No,No,,Somewhat concerned,Yes,No,No,No,No,No,No,No,No,,Increased,Yes,harder,Yes,Refused the loan or unable to borrow as much as wanted,Not applicable,Not applicable,Not applicable,<£500,Decrease by £150-£199 a month,,,,,,,,,,,,,,,No,Yes,No,No,No,No,No,Increased,Quite likely - my household income could fall sharply,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,In Paid Employment ,No,somewhat
22923525,0.97706585,No,C1,64,55-64,Yorkshire & Humberside,Female,Owned outright,"£9,500-£11,499",Widowed/Divorced/Separated,<=199,No change,None,Yes,,Not applicable,Not applicable,No,No,No,No,No,No,No,No,No,No,No,Not applicable,Not applicable,"keeping up, constant struggle",No,No,No,No,No,Yes,Yes,No,No,No,No,,Not at all concerned,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,Stayed the same,No,Not applicable,No,Not applicable,Not applicable,Not applicable,Not applicable,"£50,000 - £74,999",don't kNow,,,,,,,,,,,,,,,,,,,,,Yes,Stayed the same,Not very likely - my household income is very secure,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Retired,No,Not applicable
20965670,0.97706585,No,C1,60,55-64,Yorkshire & Humberside,Female,Owned outright,"£30,000-£39,999",Married or Couple,"£1,400-£1,599",No change,£350-£399,Yes,,Not applicable,Not applicable,No,No,No,Yes,No,No,No,No,No,No,Yes,£200-£499,£260-£279,keeping up without much difficulty,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,Not at all concerned,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,Stayed the same,No,Not applicable,No,Not applicable,Not applicable,Not applicable,Not applicable,"£30,000 - £34,999",Don’t plan to change my monthly savings,,,,,,,,,,,,,,,,,,,,,Yes,Stayed the same,Not very likely - my household income is very secure,No,No,No,No,No,No,No,No,No,Yes,,,,,,,No,No,No,No,No,No,No,Yes,,,,,,,In Paid Employment ,No,No
21180704,0.990380706,No,E,68,65+,North,Female,Owned mortgage,Refused,Married or Couple,don't kNow,No change,None,Yes,"£350,000-£399,999",Refused,Refused,No,No,No,No,No,No,No,No,No,No,No,Not applicable,Not applicable,keeping up without much difficulty,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,Not at all concerned,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,Decreased,No,Not applicable,No,Not applicable,Not applicable,Not applicable,Not applicable,don't kNow,don't kNow,,,,,,,,,,,,,,,,,,,,,Yes,Increased,Not very likely - my household income is very secure,Yes,No,No,No,No,No,No,No,Yes,No,,,,,,,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Retired,No,Not applicable
